"RelativePath","OriginalSHA256","BackupSHA256","Match"
"figuras\README.md","6562B6F733DB7B09BE27FCED4FB558A744C3D239D30D54B4D1E1BB8A5EFEC582","6562B6F733DB7B09BE27FCED4FB558A744C3D239D30D54B4D1E1BB8A5EFEC582","True"
"vision\captura_datos.py","381F16337696DE13F22FABE87FEF54EE682042A161BC844581DA60D22A8B79AB","381F16337696DE13F22FABE87FEF54EE682042A161BC844581DA60D22A8B79AB","True"
"vision\entrenar_gestos.py","A752FA3031018B9D7C28E05501B7D71607256C43C266337F6A072B655CA72E24","A752FA3031018B9D7C28E05501B7D71607256C43C266337F6A072B655CA72E24","True"
"vision\main.py","0245E4245514F949BA7F488733D391918D33CE9F5F3162490DF40BC985B0E651","0245E4245514F949BA7F488733D391918D33CE9F5F3162490DF40BC985B0E651","True"
"vision\README.md","5DF1D543EC45FF3237C08A7C18D1580785D5153B4D599A2CFB813E35DAAC27CD","5DF1D543EC45FF3237C08A7C18D1580785D5153B4D599A2CFB813E35DAAC27CD","True"
"BoWChat.py","51AD7E44334958C59AB48F28741D1CA776EA25A8AFE204813A08CBEFA8D1AEC6","51AD7E44334958C59AB48F28741D1CA776EA25A8AFE204813A08CBEFA8D1AEC6","True"
"BowChatChefZeroWaste.py","62A9951500542B2BA755C99154AD96E0EEEAD098AF8185879B7CEE78EB92B9D6","62A9951500542B2BA755C99154AD96E0EEEAD098AF8185879B7CEE78EB92B9D6","True"
"BowChatChefZeroWaste_E1_Agente.py","DCCC8EACCDC4E21360A23782FFB4EE378A62B21DF08E07C84F83865D22AF83F4","DCCC8EACCDC4E21360A23782FFB4EE378A62B21DF08E07C84F83865D22AF83F4","True"
"BowChatChefZeroWaste_E2_STM.py","04D2F2F1DE3D153D9A117EA92D59B9A68224ECFF9689F1E26DA924B94F45E2D8","04D2F2F1DE3D153D9A117EA92D59B9A68224ECFF9689F1E26DA924B94F45E2D8","True"
"CanalTextoChefZeroWaste.py","4429315C8774233D48B5319CC1720860BE0EA88A86994EED614FB932DAB6BDA4","4429315C8774233D48B5319CC1720860BE0EA88A86994EED614FB932DAB6BDA4","True"
"Chat.py","F50A1A28EE2C429F05A0E6F7C88205D64ACD3E71BC1A9BD0570917AA35111FE1","F50A1A28EE2C429F05A0E6F7C88205D64ACD3E71BC1A9BD0570917AA35111FE1","True"
"clip_zero_shot_multimodal.py","7F5774A0F656850208DC450EF6E16A794B828B2CB58164275AD6BA834227A134","7F5774A0F656850208DC450EF6E16A794B828B2CB58164275AD6BA834227A134","True"
"CUMPLIMIENTO_REQUISITOS.md","D83AAF73BDE72F9D15FCE0BFE0A2C31397CA621A29CB39A668D2DCA542DE0802","D83AAF73BDE72F9D15FCE0BFE0A2C31397CA621A29CB39A668D2DCA542DE0802","True"
"documentacion_practica_final.tex","F965955C12FF600DC377AD2EA232A69644ECF46E16A94379192FD6E5131D61D9","F965955C12FF600DC377AD2EA232A69644ECF46E16A94379192FD6E5131D61D9","True"
"IntegradorMultimodal.py","81973F1DAAB60EB2E2FC52538DB228E614C6F32B1E6F38E675A3A1F707DF474A","81973F1DAAB60EB2E2FC52538DB228E614C6F32B1E6F38E675A3A1F707DF474A","True"
"lanzar_ampliacion_clip.ps1","0C7B0F1A9F5D748C7A44BE72EC1D2820D812C21D9EC9E2BE5382C6834AF4D0EF","0C7B0F1A9F5D748C7A44BE72EC1D2820D812C21D9EC9E2BE5382C6834AF4D0EF","True"
"lanzar_ampliacion_voz.ps1","541E1C4DA72E250CC764BD0AA1C8F140AE18AE415523947820197187E2A20F20","541E1C4DA72E250CC764BD0AA1C8F140AE18AE415523947820197187E2A20F20","True"
"lanzar_app_final.ps1","2387A4DF174ED8CBEF4ADAD58EF4F23B21DB3E6308BA11E45E2E35AC6501987C","2387A4DF174ED8CBEF4ADAD58EF4F23B21DB3E6308BA11E45E2E35AC6501987C","True"
"main_chef_zero_waste.py","FEF748FE12CEC7F0A8CBE5AD9856E33065F7F2A0C40F4E1CBA981B6EF6CC316B","FEF748FE12CEC7F0A8CBE5AD9856E33065F7F2A0C40F4E1CBA981B6EF6CC316B","True"
"multimodal_utils.py","98A6B251149B2F8939D3B3B679AF79A3C27A6B8A6F59E4BA42BA23B89FA65FA4","98A6B251149B2F8939D3B3B679AF79A3C27A6B8A6F59E4BA42BA23B89FA65FA4","True"
"README.md","FB81F9BC01F013A38A83AD13B40AE8B23B5FEC994A750583C6BC25801AB6EF3F","FB81F9BC01F013A38A83AD13B40AE8B23B5FEC994A750583C6BC25801AB6EF3F","True"
"RobustLinearSVC.py","0192919385E6514AD3D7976FDE01FD6A321137242B99617D4AE68B6FD913DFD5","0192919385E6514AD3D7976FDE01FD6A321137242B99617D4AE68B6FD913DFD5","True"
"voz_asr_chef_zero_waste.py","4E2096418073BD04E5ADC944FB4C8C184D08CEEE01CBA64ECE331AF459215779","4E2096418073BD04E5ADC944FB4C8C184D08CEEE01CBA64ECE331AF459215779","True"
